QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:22:53, startOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=511, tiempo=2025-05-07 18:23:03, endOfLog=0
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:23:03, startOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=412, tiempo=2025-05-07 18:23:11, endOfLog=1
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:23:11, startOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=331, tiempo=2025-05-07 18:23:25, endOfLog=2
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:23:25, startOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=419, tiempo=2025-05-07 18:23:33, endOfLog=3
QuickSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:23:33, startOfLog=4
QuickSort: Xi=4, M=50, B=4096, IOs=410, tiempo=2025-05-07 18:23:41, endOfLog=4
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:23:42, startOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=978, tiempo=2025-05-07 18:24:04, endOfLog=5
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:24:05, startOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=1075, tiempo=2025-05-07 18:24:46, endOfLog=6
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:24:46, startOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=1159, tiempo=2025-05-07 18:25:13, endOfLog=7
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:25:13, startOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=1065, tiempo=2025-05-07 18:25:48, endOfLog=8
QuickSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:25:49, startOfLog=9
QuickSort: Xi=8, M=50, B=4096, IOs=1121, tiempo=2025-05-07 18:26:23, endOfLog=9
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:26:23, startOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=1654, tiempo=2025-05-07 18:27:20, endOfLog=10
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:27:20, startOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=1730, tiempo=2025-05-07 18:28:05, endOfLog=11
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:28:06, startOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=1574, tiempo=2025-05-07 18:28:53, endOfLog=12
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:28:54, startOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=1774, tiempo=2025-05-07 18:29:39, endOfLog=13
QuickSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:29:46, startOfLog=14
QuickSort: Xi=12, M=50, B=4096, IOs=1835, tiempo=2025-05-07 18:30:30, endOfLog=14
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:30:32, startOfLog=15
QuickSort: Xi=16, M=50, B=4096, IOs=2403, tiempo=2025-05-07 18:31:51, endOfLog=15
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:31:52, startOfLog=16
QuickSort: Xi=16, M=50, B=4096, IOs=2465, tiempo=2025-05-07 18:32:58, endOfLog=16
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:33:07, startOfLog=17
QuickSort: Xi=16, M=50, B=4096, IOs=2431, tiempo=2025-05-07 18:34:11, endOfLog=17
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:34:12, startOfLog=18
QuickSort: Xi=16, M=50, B=4096, IOs=2724, tiempo=2025-05-07 18:35:09, endOfLog=18
QuickSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:35:10, startOfLog=19
QuickSort: Xi=16, M=50, B=4096, IOs=2806, tiempo=2025-05-07 18:36:14, endOfLog=19
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:36:16, startOfLog=20
QuickSort: Xi=20, M=50, B=4096, IOs=2985, tiempo=2025-05-07 18:37:36, endOfLog=20
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:37:38, startOfLog=21
QuickSort: Xi=20, M=50, B=4096, IOs=3177, tiempo=2025-05-07 18:39:10, endOfLog=21
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:39:12, startOfLog=22
QuickSort: Xi=20, M=50, B=4096, IOs=3258, tiempo=2025-05-07 18:40:32, endOfLog=22
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:40:33, startOfLog=23
QuickSort: Xi=20, M=50, B=4096, IOs=3329, tiempo=2025-05-07 18:42:05, endOfLog=23
QuickSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:42:07, startOfLog=24
QuickSort: Xi=20, M=50, B=4096, IOs=3273, tiempo=2025-05-07 18:43:43, endOfLog=24
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:43:45, startOfLog=25
QuickSort: Xi=24, M=50, B=4096, IOs=3814, tiempo=2025-05-07 18:45:27, endOfLog=25
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:45:30, startOfLog=26
QuickSort: Xi=24, M=50, B=4096, IOs=4102, tiempo=2025-05-07 18:47:31, endOfLog=26
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:47:33, startOfLog=27
QuickSort: Xi=24, M=50, B=4096, IOs=3911, tiempo=2025-05-07 18:49:18, endOfLog=27
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:49:20, startOfLog=28
QuickSort: Xi=24, M=50, B=4096, IOs=4151, tiempo=2025-05-07 18:51:24, endOfLog=28
QuickSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:51:26, startOfLog=29
QuickSort: Xi=24, M=50, B=4096, IOs=3908, tiempo=2025-05-07 18:53:30, endOfLog=29
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:53:33, startOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=4961, tiempo=2025-05-07 18:56:14, endOfLog=30
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:56:17, startOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=4571, tiempo=2025-05-07 18:59:28, endOfLog=31
QuickSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 18:59:31, startOfLog=32
