Optimal Arity=0, M=50, X=60, B=4096, tiempo=2025-05-06 23:24:34, startOfLog=0
Optimal Arity=8, M=50, X=60, B=4096, maxArity=11, tiempo=2025-05-07 00:21:07, endOfLog=0
MergeSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:21:07, startOfLog=1
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-07 00:21:29, endOfLog=1
MergeSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:21:29, startOfLog=2
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-07 00:21:51, endOfLog=2
MergeSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:21:52, startOfLog=3
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-07 00:22:15, endOfLog=3
MergeSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:22:15, startOfLog=4
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-07 00:22:38, endOfLog=4
MergeSort: Xi=4, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:22:38, startOfLog=5
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-07 00:23:04, endOfLog=5
MergeSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:23:07, startOfLog=6
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-07 00:23:55, endOfLog=6
MergeSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:23:56, startOfLog=7
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-07 00:24:40, endOfLog=7
MergeSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:24:40, startOfLog=8
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-07 00:25:28, endOfLog=8
MergeSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:25:29, startOfLog=9
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-07 00:26:12, endOfLog=9
MergeSort: Xi=8, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:26:13, startOfLog=10
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-07 00:26:56, endOfLog=10
MergeSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:26:57, startOfLog=11
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-07 00:28:55, endOfLog=11
MergeSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:28:56, startOfLog=12
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-07 00:30:52, endOfLog=12
MergeSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:30:53, startOfLog=13
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-07 00:33:05, endOfLog=13
MergeSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:33:06, startOfLog=14
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-07 00:35:03, endOfLog=14
MergeSort: Xi=12, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:35:04, startOfLog=15
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-07 00:37:04, endOfLog=15
MergeSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:37:06, startOfLog=16
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-07 00:39:46, endOfLog=16
MergeSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:39:48, startOfLog=17
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-07 00:42:50, endOfLog=17
MergeSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:42:52, startOfLog=18
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-07 00:45:40, endOfLog=18
MergeSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:45:42, startOfLog=19
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-07 00:48:21, endOfLog=19
MergeSort: Xi=16, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:48:23, startOfLog=20
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-07 00:51:02, endOfLog=20
MergeSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:51:05, startOfLog=21
MergeSort: Xi=20, M=50, B=4096, IOs=1913, tiempo=2025-05-07 00:54:26, endOfLog=21
MergeSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:54:28, startOfLog=22
MergeSort: Xi=20, M=50, B=4096, IOs=1913, tiempo=2025-05-07 00:57:51, endOfLog=22
MergeSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 00:57:54, startOfLog=23
MergeSort: Xi=20, M=50, B=4096, IOs=1913, tiempo=2025-05-07 01:01:25, endOfLog=23
MergeSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:01:29, startOfLog=24
MergeSort: Xi=20, M=50, B=4096, IOs=1913, tiempo=2025-05-07 01:04:50, endOfLog=24
MergeSort: Xi=20, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:04:52, startOfLog=25
MergeSort: Xi=20, M=50, B=4096, IOs=1913, tiempo=2025-05-07 01:08:27, endOfLog=25
MergeSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:08:29, startOfLog=26
MergeSort: Xi=24, M=50, B=4096, IOs=2337, tiempo=2025-05-07 01:13:19, endOfLog=26
MergeSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:13:24, startOfLog=27
MergeSort: Xi=24, M=50, B=4096, IOs=2337, tiempo=2025-05-07 01:17:37, endOfLog=27
MergeSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:17:45, startOfLog=28
MergeSort: Xi=24, M=50, B=4096, IOs=2337, tiempo=2025-05-07 01:22:00, endOfLog=28
MergeSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:22:03, startOfLog=29
MergeSort: Xi=24, M=50, B=4096, IOs=2337, tiempo=2025-05-07 01:26:16, endOfLog=29
MergeSort: Xi=24, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:26:18, startOfLog=30
MergeSort: Xi=24, M=50, B=4096, IOs=2337, tiempo=2025-05-07 01:30:24, endOfLog=30
MergeSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:30:27, startOfLog=31
MergeSort: Xi=28, M=50, B=4096, IOs=2665, tiempo=2025-05-07 01:35:13, endOfLog=31
MergeSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:35:16, startOfLog=32
MergeSort: Xi=28, M=50, B=4096, IOs=2665, tiempo=2025-05-07 01:39:48, endOfLog=32
MergeSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:39:51, startOfLog=33
MergeSort: Xi=28, M=50, B=4096, IOs=2665, tiempo=2025-05-07 01:44:29, endOfLog=33
MergeSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:44:49, startOfLog=34
MergeSort: Xi=28, M=50, B=4096, IOs=2665, tiempo=2025-05-07 01:49:26, endOfLog=34
MergeSort: Xi=28, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:49:32, startOfLog=35
MergeSort: Xi=28, M=50, B=4096, IOs=2665, tiempo=2025-05-07 01:54:20, endOfLog=35
MergeSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:54:22, startOfLog=36
MergeSort: Xi=32, M=50, B=4096, IOs=3089, tiempo=2025-05-07 01:59:50, endOfLog=36
MergeSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 01:59:54, startOfLog=37
MergeSort: Xi=32, M=50, B=4096, IOs=3089, tiempo=2025-05-07 02:05:40, endOfLog=37
MergeSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:05:42, startOfLog=38
MergeSort: Xi=32, M=50, B=4096, IOs=3089, tiempo=2025-05-07 02:11:27, endOfLog=38
MergeSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:11:31, startOfLog=39
MergeSort: Xi=32, M=50, B=4096, IOs=3089, tiempo=2025-05-07 02:17:20, endOfLog=39
MergeSort: Xi=32, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:17:24, startOfLog=40
MergeSort: Xi=32, M=50, B=4096, IOs=3089, tiempo=2025-05-07 02:23:13, endOfLog=40
MergeSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:23:16, startOfLog=41
MergeSort: Xi=36, M=50, B=4096, IOs=3545, tiempo=2025-05-07 02:29:24, endOfLog=41
MergeSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:29:29, startOfLog=42
MergeSort: Xi=36, M=50, B=4096, IOs=3545, tiempo=2025-05-07 02:36:13, endOfLog=42
MergeSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 02:36:17, startOfLog=43
MergeSort: Xi=36, M=50, B=4096, IOs=3545, tiempo=2025-05-07 04:20:17, endOfLog=43
MergeSort: Xi=36, M=50, B=4096, IOs=0, tiempo=2025-05-07 04:20:21, startOfLog=44
