MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-06 22:16:39
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-06 22:17:01
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-06 22:17:24
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-06 22:17:45
MergeSort: Xi=4, M=50, B=4096, IOs=241, tiempo=2025-05-06 22:18:06
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-06 22:18:57
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-06 22:19:44
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-06 22:20:28
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-06 22:21:11
MergeSort: Xi=8, M=50, B=4096, IOs=497, tiempo=2025-05-06 22:21:56
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-06 22:24:00
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-06 22:25:56
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-06 22:27:54
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-06 22:29:49
MergeSort: Xi=12, M=50, B=4096, IOs=1097, tiempo=2025-05-06 22:31:43
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-06 22:34:17
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-06 22:36:59
MergeSort: Xi=16, M=50, B=4096, IOs=1585, tiempo=2025-05-06 22:40:05
